Parameter | Placebo | (%) | Total | (%) | Xanomeline High Dose | (%) | Xanomeline Low Dose | (%)
CALCULUS URETHRAL | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
DYSURIA | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
INCONTINENCE | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
MICTURITION URGENCY | 1 | (1.2) | 3 | (1.2) | 1 | (1.2) | 1 | (1.2)
NEPHROLITHIASIS | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
POLLAKIURIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BENIGN PROSTATIC HYPERPLASIA | 1 | (1.2) | 2 | (0.8) | 1 | (1.2) | 0 | (0.0)
PELVIC PAIN | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
ALLERGIC GRANULOMATOUS ANGIITIS | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
COUGH | 1 | (1.2) | 11 | (4.3) | 5 | (6.0) | 5 | (6.0)
DYSPHONIA | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
DYSPNOEA | 1 | (1.2) | 3 | (1.2) | 1 | (1.2) | 1 | (1.2)
EMPHYSEMA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
EPISTAXIS | 0 | (0.0) | 3 | (1.2) | 2 | (2.4) | 1 | (1.2)
HAEMOPTYSIS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
NASAL CONGESTION | 3 | (3.5) | 7 | (2.8) | 3 | (3.6) | 1 | (1.2)
PHARYNGEAL ERYTHEMA | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
PHARYNGOLARYNGEAL PAIN | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
POSTNASAL DRIP | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
PRODUCTIVE COUGH | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
RALES | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
RESPIRATORY TRACT CONGESTION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
RHINORRHOEA | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
ACTINIC KERATOSIS | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
ALOPECIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BLISTER | 0 | (0.0) | 6 | (2.4) | 1 | (1.2) | 5 | (6.0)
COLD SWEAT | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
DERMATITIS CONTACT | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
DRUG ERUPTION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
ERYTHEMA | 8 | (9.3) | 36 | (14.2) | 14 | (16.7) | 14 | (16.7)
HYPERHIDROSIS | 2 | (2.3) | 14 | (5.5) | 8 | (9.5) | 4 | (4.8)
PRURITUS | 8 | (9.3) | 55 | (21.7) | 26 | (31.0) | 21 | (25.0)
PRURITUS GENERALISED | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
RASH | 5 | (5.8) | 27 | (10.6) | 9 | (10.7) | 13 | (15.5)
RASH ERYTHEMATOUS | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
RASH MACULO-PAPULAR | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
RASH PRURITIC | 0 | (0.0) | 3 | (1.2) | 2 | (2.4) | 1 | (1.2)
SKIN EXFOLIATION | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
SKIN IRRITATION | 3 | (3.5) | 14 | (5.5) | 5 | (6.0) | 6 | (7.1)
SKIN ODOUR ABNORMAL | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
SKIN ULCER | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
URTICARIA | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
ALCOHOL USE | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
ACROCHORDON EXCISION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
CATARACT OPERATION | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
EYE LASER SURGERY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
SKIN LESION EXCISION | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
HOT FLUSH | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
HYPERTENSION | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
HYPOTENSION | 2 | (2.3) | 3 | (1.2) | 0 | (0.0) | 1 | (1.2)
ORTHOSTATIC HYPOTENSION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
WOUND HAEMORRHAGE | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
